Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,,
¿Qué región limita cranealmente con la región braquiocefálica?,Región parotí­dea,Región intermandibular,Región orbitaria,Región nasal,,
¿Dónde se sitéa la región preescapular?,Por delante de la escápula,Sobre el tórax dorsal,Caudal al hombro,Por detrás del cuello,,
¿Cuál es la importancia clí­nica de la región preescapular?,Exploración de ganglios linfáticos preescapulares,Evaluación del reflejo patelar,Medición del diámetro torácico,Inspección de los sacos anales,,
¿Qué planos anatómicos tiene la región preescapular?,Los mismos que en la región braquiocefálica,Iguales a la región orbitaria,Equivalentes a la región abdominal,Como en la región nasal,,
¿Qué procedimiento puede incluir la región preescapular por su importancia clí­nica?,Palpación de ganglios linfáticos,Cateterización venosa,Trepanación ósea,Laringoscopí­a,,
¿Qué estructura puede extirparse desde la región parotí­dea en caso de patologí­a?,Glándula mandibular,Glándula lagrimal,Glándula sublingual,Glándula pineal,,
¿Qué tipo de inyecciones se suelen aplicar en la región braquiocefálica?,Subcutáneas,Intratecales,Intracardí­acas,Intraarticulares,,
¿Qué parte de la anatomí­a limita ventralmente a la región braquiocefálica?,Surco yugular,Fosa nasal,Cartí­lago cricoides,Mésculo digástrico,,
¿Qué región se explora al realizar un examen de ganglios preescapulares?,Región preescapular,Región hioidea,Región mandibular,Región parietal,,
¿Desde dónde se extiende la región ventral del cuello?,Desde el atlas y hueso occipital hasta el surco preescapular,Desde la base del cráneo hasta el hémero,Desde el occipital hasta el hombro,Desde el atlas hasta la escápula,,
¿Qué estructuras se incluyen en la región ventral del cuello?,"Región larí­ngea, traqueal, surco y fosa yugular",Región nasal y región orbitaria,Región bucal y mandibular,Región auricular y parietal,,
¿Dónde se encuentra la región traqueal?,En la lí­nea media ventral de la región ventral del cuello,En la base de la región occipital,Lateral a la escápula,En la lí­nea dorsal entre las vértebras cervicales,,
¿Hasta dónde alcanza la región traqueal caudalmente?,Apertura torácica craneal,Base de la lengua,Surco temporal,Raí­z del hémero,,
¿Qué procedimientos clí­nicos se realizan en la región traqueal?,"Traqueotomí­a, esofagotomí­a, cirugí­a de glándulas tiroides","Amputación de oreja, biopsia renal",Aspiración esplénica,Cirugí­a periodontal,,
¿Qué mésculo delimita dorsalmente la gotera de la yugular?,Mésculo braquiocefálico,Mésculo temporal,Mésculo digástrico,Mésculo genihioideo,,
¿Qué mésculo delimita ventralmente la gotera yugular?,Mésculo esternocefálico,Mésculo cleidocefálico,Mésculo esternohioideo,Mésculo milohioideo,,
¿Qué vena se encuentra en la gotera de la yugular?,Vena yugular externa,Vena yugular interna,Vena basí­lica,Vena cava caudal,,
¿Qué procedimiento se realiza coménmente en la gotera yugular?,Venopunción,Incisión cervical,Extracción dental,Endoscopia nasal,,
¿Qué aplicación tiene la venopunción en la gotera yugular?,Obtención de muestras,Toma de presión arterial,Auscultación larí­ngea,Biopsia muscular,,
¿Qué se debe evitar al inyectar en la yugular externa?,Lesión de las paredes endoteliales,Hipotermia local,Alteración de la tráquea,Obstrucción bronquial,,
¿Cuál es la mejor zona para inyectar en la yugular externa?,Entre el tercio superior y medio,En el tercio inferior solamente,A nivel de la escápula,Justo debajo de la mandí­bula,,
¿Qué condición permite visualizar fácilmente la yugular externa?,Compresión de la zona,Hipertermia,Elevación mandibular,Estiramiento lingual,,
¿Qué ví­a se utiliza en emergencias para aplicar tratamiento en esta región?,Ví­a intravenosa yugular,Ví­a intramuscular glétea,Ví­a intranasal,Ví­a subcutánea escapular,,
¿Qué estructura se encuentra justo ventral a la tráquea en esta región?,Esófago,Nervio vago,Laringe,Tiroides,,
¿Qué puede visualizarse al realizar una traqueotomí­a?,Anillos traqueales,Cartí­lago nasal,Mésculo esternomastoideo,Cavidad timpánica,,
¿Qué procedimiento se realiza para permitir el paso de aire en obstrucciones altas?,Traqueotomí­a,Laringectomí­a,Amigdalectomí­a,Gastrotomí­a,,
¿Qué mésculo NO delimita la gotera yugular?,Mésculo masetero,Mésculo braquiocefálico,Mésculo esternocefálico,Ninguno de los anteriores,,
¿Qué técnica puede realizarse para aliviar presión esofágica en esta región?,Esofagotomí­a,Lobectomí­a pulmonar,Palatoplastia,Rinotomí­a,,
¿Qué estructuras se deben evitar daí±ar al realizar una venopunción?,Paredes endoteliales de la vena,Cartí­lago epiglótico,Conducto auditivo,Ganglios linfáticos del ojo,,
¿Cuál es el lí­mite craneal del tórax?,Surco preescapular,Cartí­lago xifoides,Base del cuello,Cresta ilí­aca,,
¿Cuál es el lí­mite caudal del tórax?,Proceso transverso de la éltima vértebra torácica,Fosa iliaca,Lí­nea alba,Cresta sacra,,
¿Qué estructura marca el borde caudal del tórax hacia el cartí­lago xifoides?,Borde caudal de la éltima costilla,Arco costal rostral,Costillas flotantes,Cartí­lago cricoides,,
¿Cuál de los siguientes es un punto palpable en el tórax?,Espacios intercostales,Válvula ileocecal,Arco zigomático,Tubérculo larí­ngeo,,
¿Qué órgano NO se encuentra dentro del tórax?,Estómago,Pulmones,Esófago,Corazón,,
¿Cuál de estos órganos se encuentra en el mediastino?,Nervio vago,Rií±ón,Uretra,Colon ascendente,,
¿Qué estructura vascular se encuentra en el tórax?,Vena cava craneal y caudal,Vena porta,Vena yugular interna,Arteria femoral,,
¿Qué arteria nace del corazón en el tórax?,Arteria aorta ascendente,Arteria carótida,Arteria renal,Arteria tibial,,
¿Qué estructura forma parte del lí­mite caudal de la región esternal?,Cartí­lago xifoides,Cartí­lago costal,Apófisis espinosa,Mésculo escaleno,,
¿Cuál es el lí­mite craneal de la región esternal?,Manubrio del esternón,Cartí­lago larí­ngeo,Furca esternal,Espina escapular,,
¿Qué mésculo forma parte del lí­mite lateral de la región esternal?,Mésculo pectoral profundo,Mésculo braquiocefálico,Mésculo temporal,Mésculo cricotiroideo,,
¿Qué fascia se encuentra en la región esternal?,Fascia pectoral superficial,Fascia retrofarí­ngea,Fascia bucal interna,Fascia mesentérica,,
¿Cuál de los siguientes cartí­lagos es parte de la región esternal?,Cartí­lago xifoides,Cartí­lago nasal,Cartí­lago epiglótico,Cartí­lago cricoides,,
¿Qué estructura respiratoria se encuentra en el tórax?,Tráquea,Faringe,Vestí­bulo nasal,Cavidad oral,,
¿Qué nervio forma parte del contenido torácico?,Nervio vago,Nervio óptico,Nervio olfatorio,Nervio facial,,
¿Qué región contiene al timo en animales jóvenes?,Región esternal,Región parietal,Región dorsal del cuello,Región nasal,,
¿Qué estructura vascular se ubica en la región esternal?,Arteria y vena torácica interna,Vena yugular externa,Arteria renal,Vena porta,,
¿Cuál es un plano anatómico de la región esternal?,"Piel, fascia, mésculo y pleura parietal",Médula espinal y meninges,Corteza renal y papilas,Submucosa nasal y epitelio olfativo,,
¿Qué mésculo se encuentra en la región esternal como parte del plano superficial?,Mésculo pectoral superficial,Mésculo masetero,Mésculo temporal,Mésculo orbicular,,
¿Qué región torácica permite la palpación del manubrio?,Región esternal,Región costal caudal,Región dorsal del tórax,Región escapular,,
¿Cuál es una aplicación clí­nica de la región costo-lateral?,Toracocentesis,Laringoscopí­a,Auscultación nasal,Biopsia hepática,,
¿Qué plano anatómico está presente en la región costo-lateral?,Fascia superficial del tronco,Cápsula sinovial,Mucosa gástrica,Pericardio visceral,,
¿Qué mésculo se encuentra en la región costo-lateral?,M. serrato dorsal caudal,M. pterigoideo medial,M. digástrico,M. braquiocefálico,,
¿Qué arterias se ubican en la región costo-lateral?,Arterias intercostales,Arterias renales,Arterias carótidas,Arterias digitales,,
¿Qué procedimiento se puede hacer en la región costo-subescapular?,Inyecciones intratorácicas,Inyecciones intranasales,Biopsias linguales,Incisión en prepucio,,
¿Qué borde marca el lí­mite caudal de la región costo-subescapular?,Borde caudal de la escápula al olécranon,Base de la escápula,Cartí­lago cricoides,Base del occipital,,
¿Qué procedimiento se realiza en la región costo-subescapular para drenar cavidades?,Toracotomí­a,Gastrotomí­a,Esplenectomí­a,Palatoplastia,,
¿Qué evaluación se hace en la región costo-subescapular?,Auscultación cardí­aca y pulmonar,Reflejo pupilar,Presión arterial femoral,Función hepática,,
¿Dónde se encuentra el mediastino?,Entre los dos pulmones,Entre las costillas dorsales,Entre el diafragma y el hí­gado,Rodeando la tráquea cervical,,
¿Cuál de los siguientes órganos se encuentra en el mediastino?,Corazón,Rií±ón,Hí­gado,Estómago,,
¿Qué estructura del sistema digestivo cruza el mediastino?,Esófago,Colon transverso,Estómago,Duodeno,,
¿Qué división del mediastino contiene el corazón?,Todas las divisiones lo incluyen,Solo la craneal dorsal,íšnicamente la caudal ventral,Ninguna lo contiene,,
¿Qué nódulos se ubican en el mediastino?,Nódulos mediastí­nicos,Nódulos mandibulares,Nódulos mesentéricos,Nódulos axilares,,
¿Qué arteria se observa en el mediastino?,Aorta,Arteria renal,Arteria facial,Arteria radial,,
¿Qué parte del pulmón rodea al mediastino?,Ambos pulmones,Solo el lóbulo accesorio,Solo el pulmón izquierdo,Ninguno,,
¿Qué plano anatómico está presente en la región costo-lateral?,Pleura parietal,Duramadre,Mucosa gástrica,Periostio,,
¿Qué región permite evaluación de la condición corporal y toracotomí­as?,Región costo-lateral,Región auricular,Región escrotal,Región lingual,,
¿Qué técnica de imagen se relaciona con la región costo-lateral?,Radiografí­a de tórax,RMN de cráneo,Ultrasonido testicular,Endoscopí­a esofágica,,
¿Qué fascia se encuentra en la región costo-lateral?,Fascia toracolumbar,Fascia bucal,Fascia urogenital,Fascia temporomandibular,,
¿Qué mésculo se observa en la región costo-lateral dorsalmente?,M. gran dorsal,M. milohioideo,M. cricotiroideo,M. pterigoideo,,
¿Qué nervio se encuentra en el mediastino dorsal craneal derecho?,Nervio vago,Nervio frénico,Nervio óptico,Nervio olfatorio,,
¿Qué vena está presente en el mediastino dorsal craneal derecho?,Vena ácigos,Vena yugular,Vena porta,Vena renal,,
¿Qué ganglio está presente en el mediastino dorsal craneal derecho?,Ganglio cervicotorácico,Ganglio submandibular,Ganglio mesentérico,Ganglio retromandibular,,
¿Qué conducto linfático está en el mediastino dorsal izquierdo?,Ducto torácico,Ducto sublingual,Ducto pancreático,Ducto renal,,
¿Qué nervio se encuentra en el mediastino dorsal craneal izquierdo?,Nervio cervical traqueal,Nervio frénico,Nervio auditivo,Nervio abducens,,
¿Qué estructura vascular está presente en el mediastino dorsal de ambos lados?,Arterias y venas vertebrales,Vena cava,Arteria pulmonar,Vena hepática,,
¿Qué arteria se encuentra en el mediastino ventral craneal derecho?,Arteria cervical superficial,Arteria radial profunda,Arteria carótida externa,Arteria vertebral,,
¿Qué vena está en el mediastino ventral craneal izquierdo?,Vena yugular,Vena ácigos,Vena porta,Vena femoral,,
¿Qué nervio se encuentra en el mediastino ventral craneal izquierdo?,Nervio frénico,Nervio olfatorio,Nervio troclear,Nervio óptico,,
¿Qué glándula está presente en el mediastino ventral craneal?,Timo,Tiroides,Suprarrenal,Parótida,,
¿Qué tronco arterial se encuentra en ambos lados del mediastino ventral craneal?,Tronco braquiocefálico,Tronco celí­aco,Tronco pulmonar,Tronco basilar,,
¿Qué arterias y venas se encuentran en ambos lados del mediastino ventral craneal?,Torácica externa,Esplénica,Coccí­gea,Carótida externa,,
¿Qué vena se acompaí±a de su arteria homóloga en el mediastino ventral craneal derecho?,Vena subclavia,Vena yugular interna,Vena cava caudal,Vena renal,,
¿Qué ganglio está presente en ambos lados del mediastino dorsal craneal?,Ganglio estrellado,Ganglio mesentérico,Ganglio simpático lumbar,Ganglio mandibular,,
¿Qué estructuras pertenecen exclusivamente al mediastino dorsal izquierdo?,Ducto torácico y nervio cervical traqueal,Timo y nervio frénico,Arteria subclavia y ganglio cervical,Vena cava y conducto nasal,,
¿Qué vena se encuentra en el mediastino dorsal medio derecho?,Vena cava,Vena yugular,Vena subclavia,Vena renal,,
¿Qué estructuras respiratorias se encuentran en el mediastino dorsal medio derecho?,Venas pulmonares y tráquea,Bronquios y laringe,Pulmones y narinas,Senos frontales y bronquios,,
¿Qué estructura linfática se encuentra en el mediastino dorsal medio derecho?,Ducto torácico,Timo,Ganglio estrellado,Linfáticos linguales,,
¿Qué nervio aparece en ambos lados del mediastino dorsal medio?,Nervio frénico,Nervio hipogloso,Nervio olfatorio,Nervio accesorio,,
¿Qué órgano se encuentra en el mediastino ventral medio?,Corazón,Pulmón izquierdo,Esófago,Estómago,,
¿Qué estructura vascular está en el mediastino ventral medio?,Arteria y vena torácica interna,Vena ácigos,Arteria carótida,Arteria subclavia,,
¿Qué cubre al corazón en el mediastino ventral medio?,Pericardio,Pleura visceral,Cápsula serosa,Fascia parietal,,
¿Qué nervio está presente en el mediastino dorsal medio izquierdo?,Nervio vago,Nervio radial,Nervio trigémino,Nervio facial,,
¿Qué órgano digestivo está presente en el mediastino dorsal medio izquierdo?,Esófago,Estómago,Ciego,Duodeno,,
¿Qué cadena nerviosa aparece en el mediastino dorsal medio izquierdo?,Cadena ganglionar simpática,Plexo cervical,Tronco simpático lumbar,Ganglio mandibular,,
¿Qué vasos se encuentran en el mediastino ventral caudal?,Vena y arteria torácica interna,Vena yugular y arteria femoral,Vena renal y arteria esplénica,Vena pulmonar y arteria carótida,,
¿Qué nervio aparece tanto en el mediastino dorsal como en el ventral caudal?,Nervio frénico,Nervio trigémino,Nervio facial,Nervio óptico,,
¿Qué estructura digestiva se encuentra en el mediastino dorsal caudal?,Esófago,Estómago,Intestino delgado,Colon transverso,,
¿Qué vena aparece en el mediastino dorsal caudal derecho?,Vena ácigos,Vena cava craneal,Vena subclavia,Vena porta,,
¿Qué arteria está presente en ambos lados del mediastino dorsal caudal?,Aorta torácica,Aorta abdominal,Arteria renal,Arteria yugular,,
¿Qué conducto linfático está presente en el mediastino dorsal caudal derecho?,Ducto torácico,Ducto salival mayor,Ducto linfático cervical,Ducto tiroideo,,
¿Qué estructura nerviosa forma parte del mediastino dorsal caudal derecho?,Cadena ganglionar simpática,Nervio auditivo,Plexo braquial,Nervio lingual,,
¿Qué estructura pulmonar está en el mediastino dorsal caudal izquierdo?,Venas pulmonares,Bronquios segmentarios,Tráquea cervical,Pleura parietal,,
¿Qué nervio aparece en el mediastino ventral caudal junto con el frénico?,Nervio vago,Nervio esplácnico,Nervio radial,Nervio vestibular,,
¿Cuál es una aplicación clí­nica importante del estudio del mediastino?,Ubicación de órganos torácicos para diagnóstico,Evaluación de reflejos miotáticos,Exploración abdominal,Cirugí­a ocular,,
¿Desde dónde se extiende el abdomen en general?,Desde el diafragma hasta las alas del ilion,Desde el esófago hasta el cóccix,Desde el esternón hasta las patas,Desde la tráquea hasta las costillas,,
¿Qué lí­mite craneal tiene la región del abdomen craneal (hipocondrio)?,Inserción diafragmática,Cartí­lago xifoideo,Punto medio del esternón,Lí­nea alba,,
¿Qué plano limita caudalmente al abdomen craneal (hipocondrio)?,Plano que pasa por el borde más caudal de la éltima costilla,Plano que cruza el ombligo,Lí­nea intercostal media,Plano que pasa por el cartí­lago nasal,,
¿Qué estructura limita ventralmente al hipocondrio?,Borde lateral del M. recto abdominal,Cartí­lago nasal,Lí­nea alba,Costillas flotantes,,
¿Qué aplicación clí­nica se asocia al hipocondrio?,Palpación hepática,Reflejo pupilar,Evaluación mandibular,Auscultación auricular,,
¿Qué procedimiento se puede hacer en el hipocondrio?,Biopsia o punción,Electroencefalograma,Reflejo rotuliano,Análisis ótico,,
¿Qué estructura marca el lí­mite craneal de la región xifoidea?,Cartí­lago xifoides,Cartí­lago costal,Esternón medio,Vértebra lumbar,,
¿Cuál es el lí­mite dorsal de la región xifoidea?,Borde lateral del M. recto abdominal,Costillas caudales,Vena cava,Lí­nea interescapular,,
¿Qué plano se comparte entre la región hipocondrio y la región xifoidea?,C. y SC. + Fascia superficial + M. oblicuo externo,Cápsula renal + hilio,Pleura costal + fascia torácica,M. cuadrado lumbar + esternón,,
¿Qué procedimientos se indican en la región xifoidea?,"Los mismos del hipocondrio: biopsia, palpación hepática, etc.",Análisis endoscópico nasal,Reflejos auriculares,Irrigación pulmonar,,
¿Qué otro nombre recibe la región del abdomen medio lateral?,Región del flanco o del ijar,Región costal caudal,Región renal,Región lumbar dorsal,,
¿Qué plano anatómico NO forma parte del flanco?,Cápsula renal externa,C y S.C.,M. oblicuo abdominal externo,Peritoneo parietal,,
¿Qué arteria irriga la región del ijar?,A. circunfleja ilí­aca profunda,A. vertebral caudal,A. celí­aca,A. facial,,
¿Qué procedimiento se realiza con frecuencia en la región del ijar?,Abdominocentesis,Auscultación nasal,Otoscopí­a,Venopunción yugular,,
¿Qué estructura es una referencia en la región umbilical?,Cicatriz umbilical,Trocánter mayor,Vértebra T7,Cartí­lago nasal,,
¿Cómo se diferencia el ijar del umbilical?,El umbilical es más central y su punto de unión es la cicatriz umbilical,El umbilical está dorsal al ijar,El umbilical se encuentra en la cadera,Ambos son sinónimos,,
¿Qué mésculo forma parte de la región umbilical?,M. transverso del abdomen,M. temporal,M. orbicular de los ojos,M. cricotiroideo,,
¿Qué tipo de plano se menciona en ambas regiones (ijar y umbilical)?,Aponeurosis,Cápsula sinovial,Cartí­lago elástico,Espacio pleural,,
¿Qué aplicación clí­nica se asocia con la región umbilical?,Palpación abdominal y laparotomí­a,Resección nasal,Estudio neurológico,Reflejo corneal,,
¿Qué plano se encuentra más superficial en ambas regiones?,C y S.C.,Fascia transversa,Peritoneo visceral,M. iliohipogástrico,,
¿Qué plano craneal delimita la región inguinal?,Plano que pasa por la tuberosidad coxal,Plano que pasa por el cartí­lago xifoides,Plano que pasa por la cresta ilí­aca,Plano que pasa por la sí­nfisis pébica,,
¿Cuál es el lí­mite caudal de la región inguinal?,Lí­nea terminal,Lí­nea intercostal,Lí­nea transversa dorsal,Lí­nea alba,,
¿Qué mésculo delimita ventralmente la región inguinal?,Borde lateral del M. recto del abdomen,M. esternohioideo,M. transverso superficial,M. braquiocefálico,,
¿Qué estructura se encuentra en la región inguinal que puede palparse?,Pulso,Tráquea,Cartí­lago nasal,Ganglio mandibular,,
¿Qué patologí­a se puede corregir quirérgicamente en esta región?,Hernias inguinales,Fractura costal,Desgarro de ligamento cruzado,Neoplasia nasal,,
¿Qué procedimiento reproductivo se realiza en la región inguinal?,Castración,Epididimectomí­a,Ovariohisterectomí­a,Parto inducido,,
¿Qué vena irriga la región inguinal?,V. femoral,V. subclavia,V. porta,V. yugular,,
¿Qué plano profundo se encuentra en la región inguinal?,Peritoneo parietal,Cápsula renal,Pleura visceral,Aponeurosis temporal,,
¿Qué procedimiento ginecológico se realiza en esta región?,Cesárea,Biopsia mamaria,Citologí­a vaginal,Amputación uterina,,
¿Qué nervio inerva esta región segén la imagen?,N. iliohipogástrico,N. femorocutáneo,N. perineal profundo,N. vago,,
¿Qué plano craneal delimita la región pébica?,Plano que pasa por la tuberosidad coxal,Plano que pasa por la cresta ilí­aca,Plano que pasa por la sí­nfisis mandibular,Plano que pasa por el cartí­lago nasal,,
¿Qué lí­nea marca el lí­mite caudal de la región pébica?,Lí­nea terminal,Lí­nea intercostal,Lí­nea alba,Lí­nea transversa nasal,,
¿Qué mésculo forma parte del lí­mite lateral de la región pébica?,Borde lateral del M. recto abdominal,M. temporal,M. digástrico,M. esternohioideo,,
¿Qué plano profundo está presente en la región pébica?,Peritoneo parietal,Pleura visceral,Duramadre,Fascia bucal,,
¿Qué glándula se menciona en la región pébica?,Glándula mamaria,Glándula suprarrenal,Glándula sublingual,Glándula pineal,,
¿Qué mésculo se encuentra en el plano profundo de la región pébica?,M. transverso abdominal,M. orbicular de los ojos,M. cricotiroideo,M. braquiocefálico,,
¿Qué arteria se menciona en el plano profundo de la región pébica?,A. epigástrica caudal,A. pulmonar derecha,A. ilí­aca interna,A. mesentérica craneal,,
¿Cuál de los siguientes órganos NO se encuentra en el abdomen?,Pulmones,Hí­gado,Rií±ones,Intestino delgado,,
¿Qué órgano endocrino se localiza en el abdomen?,Glándulas adrenales,Hipotálamo,Timo,Tiroides,,
¿Qué sistema representa el páncreas dentro del abdomen?,Digestivo y endocrino,Respiratorio y muscular,Urinario y linfático,Reproductor y óseo,,
¿Cuál es el lí­mite caudal de la pelvis?,Lo éltimo del hueso sacro,Tuberosidad del radio,Cartí­lago costal,Borde del hémero,,
¿Qué estructura se encuentra en la región escrotal?,Testí­culos,Vejiga,Uretra,Glándula prostática,,
¿Qué procedimiento clí­nico se realiza en la región escrotal en gatos?,Castraciones,Episiotomí­a,Esofagotomí­a,Auscultación abdominal,,
¿En qué animales es comén realizar biopsias escrotales?,En perros que no engordan,En vacas adultas,En gatos neonatos,En caballos viejos,,
¿Qué estructura cubre al pene en la región prepucial?,Ténica cutánea,Aponeurosis torácica,Cápsula renal,Mucosa lingual,,
¿Qué secreta el divertí­culo prepucial?,Esmegma,Cerumen,Moco intestinal,Sebáceo,,
¿Qué es la parafimosis?,Condición donde el pene no puede volver a retraerse,Ausencia de testí­culos,Obstrucción de la uretra,Inversión prepucial,,
¿Qué procedimiento ayuda a prevenir infecciones en la región prepucial?,Lavados prepuciales,Laringotomí­as,Castración bilateral,Esofagotomí­a,,
¿Cuál es el contenido clí­nico importante de la región sacra?,Aplicación de epidural,Biopsia hepática,Endoscopí­a nasal,Venopunción yugular,,
¿Qué estructuras contiene la cauda equina en la región sacra?,Muchos nervios en la membrana pélvica,Solo nervios craneales,Glándulas endocrinas,Cilios respiratorios,,
¿Qué plano anatómico profundo se encuentra en la región sacra?,Peritoneo parietal,Pleura parietal,Cápsula del cristalino,Mucosa gástrica,,
¿Qué indica la advertencia en los apuntes sobre el sacro?,NO DEJEN DE REVISAR SACRO,Eviten tocar el sacro,Solo en hembras se revisa,No tiene importancia clí­nica,,
¿Qué estructura limita la pelvis cranealmente?,Lí­nea terminal,Lí­nea media abdominal,Lí­nea iliofemoral,Lí­nea alba,,
¿Cuál de estas regiones NO tiene lí­mites exactos?,Región escrotal,Región sacra,Región prepucial,Región pébica,,
¿Qué órgano está ausente en la región prepucial?,Testí­culos,Glándulas prepuciales,Divertí­culo prepucial,Esmegma,,
¿Qué función tienen las glándulas prepuciales?,Producen secreciones para lubricación,Forman la uretra,Controlan la presión arterial,Activan el sistema linfático,,
¿Qué nervios deben evitarse en lesiones de región sacra?,Nervios de la cauda equina,Nervios craneales,Nervios ópticos,Nervios intercostales,,
¿Cuál es un uso clí­nico comén de la región sacra en medicina veterinaria?,Anestesia epidural,Auscultación pulmonar,Palpación del estómago,Reflejo pupilar,,
¿Qué se evaléa en la región sacra en casos neurológicos?,Lesiones de cauda equina,Ruidos intestinales,Función pancreática,Capacidad olfatoria,,
¿Qué se debe hacer si el pene no puede volver a retraerse?,Corregir la parafimosis,Realizar laparotomí­a,Aplicar esmegma,Deshidratar el prepucio,,
¿Qué estructura anatómica puede dificultar la corrección de la parafimosis?,Apertura del prepucio muy cerrada,Inflamación testicular,Obstrucción vesical,Cierre de uretra,,
¿Qué se debe considerar en machos con secreción prepucial excesiva?,Limpieza con lavados,Lobectomí­a,Resección lingual,Extirpación nasal,,
¿Qué indica la glándula mamaria en machos en la región pébica?,Es parte del plano anatómico,Indica feminización,Debe extirparse,No se considera estructura anatómica,,
¿Qué intervención puede realizarse bajo el peritoneo en la pelvis?,Cirugí­as abdominales caudales,Reflejo corneal,Amputación de cola,Drenaje bronquial,,
¿Qué mésculo está implicado en la región prepucial segén los planos?,M. oblicuo abdominal externo,M. masetero,M. orbicular del ojo,M. digástrico,,
¿Qué estructura anatómica marca el lí­mite proximal de la región escapular?,Borde dorsal de la escápula,Borde caudal del hémero,Articulación del carpo,Tuberosidad del radio,,
¿Cuál es el lí­mite distal de la región escapular?,Articulación escápulo-humeral,Codo,Articulación carpo-metacarpo,Cabeza del hémero,,
¿Qué arteria irriga directamente la región escapular?,Arteria circunfleja humeral caudal,Arteria mesentérica craneal,Arteria sublingual,Arteria vertebral,,
¿Qué arteria nace de la circunfleja humeral caudal?,Arteria circunfleja humeral craneal,Arteria torácica externa,Arteria facial,Arteria temporal superficial,,
¿Qué plexo nervioso inerva la región escapular?,Plexo braquial,Plexo sacro,Plexo cervical,Plexo intercostal,,
¿Qué mésculo aparece como plano anatómico en esta región?,M. subescapular,M. cricotiroideo,M. orbicular del ojo,M. oblicuo abdominal interno,,
¿Qué procedimiento se realiza en gatos gracias a los sarcomas?,Aplicación de vacunas subcutáneas en la región escapular,Desparasitación intravenosa,Biopsia de la lengua,Drenaje nasal,,
¿Qué mésculo profundo se encuentra en esta región?,M. infraespinoso,M. braquiocefálico,M. cuadrado lumbar,M. extensor radial del carpo,,
¿Qué mésculo de la región escapular es extensor del hombro?,M. supraespinoso,M. masetero,M. transverso del abdomen,M. intercostal externo,,
¿Qué mésculo contribuye al movimiento de aducción del brazo?,M. subescapular,M. sartorio,M. geniogloso,M. temporal,,
¿Qué arteria pasa cerca de la articulación escápulo-humeral?,A. subescapular,A. pulmonar,A. carótida externa,A. renal,,
¿Qué ganglio linfático se palpa en esta región?,Linfónodo prescapular,Linfónodo mandibular,Linfónodo poplí­teo,Linfónodo inguinal,,
¿Qué procedimiento diagnóstico se menciona como étil en esta región?,Rayos X,Ecografí­a vaginal,Colonoscopí­a,Electrocardiograma,,
¿Qué borde delimita esta región caudalmente?,Borde caudal de la escápula,Borde caudal del esternón,Borde caudal del cébito,Borde caudal del í­leon,,
¿Qué arteria se ramifica como arteria torácica externa?,Arteria axilar,Arteria pulmonar,Arteria renal,Arteria ilí­aca interna,,
¿Qué mésculo forma parte del plano superficial?,M. trapecio cervical,M. transverso torácico,M. esternohioideo,M. oblicuo mayor del abdomen,,
¿Qué nervio del plexo braquial inerva el M. supraespinoso?,N. supraescapular,N. mediano,N. obturador,N. peroneo comén,,
¿Qué acción produce el M. infraespinoso?,Abducción del hombro,Flexión del carpo,Rotación interna del fémur,Extensión de la falange distal,,
¿Qué plano profundo envuelve al plexo braquial?,Fascia axilar,Peritoneo parietal,Pleura mediastí­nica,Fascia caudal,,
¿Qué otro mésculo se encuentra junto al subescapular?,M. redondo mayor,M. digástrico,M. buccinador,M. recto femoral,,
¿Cuál es el lí­mite proximal de la región escápulo-humeral?,Cavidad glenoidea de la escápula,Cabeza del fémur,Tuberosidad del radio,Cresta del í­leon,,
¿Cuál es el lí­mite distal de la región escápulo-humeral?,Cabeza del hémero,Troclea del cébito,Cabeza del radio,Falange distal,,
¿Qué aplicación clí­nica se menciona para la región escápulo-humeral?,Punto de amputación del MT,Biopsia de lengua,Vacunación subcutánea,Auscultación pulmonar,,
¿Cuál es el lí­mite distal de la región del hémero?,Articulación hémero-radio-ulnar,Articulación carpiana,Articulación coxofemoral,Articulación atlantooccipital,,
¿Qué mésculos se encuentran en el plano anatómico de la región humeral?,"Deltoides, trí­ceps, bí­ceps, braquial","Gléteo, sartorio, pectí­neo","Masetero, milohioideo, digástrico","Oblicuo externo, transverso, cuadrado lumbar",,
¿Qué arteria irriga directamente el hémero?,Arteria circunfleja humeral caudal,Arteria facial,Arteria pulmonar,Arteria renal,,
¿De qué arteria nace la circunfleja humeral craneal?,De la circunfleja humeral caudal,De la aorta abdominal,De la mesentérica craneal,De la carótida externa,,
¿Qué arteria se desprende de la arteria axilar?,Arteria torácica externa,Arteria radial profunda,Arteria coronaria izquierda,Arteria gástrica derecha,,
¿Qué nervio inerva el M. trí­ceps?,Nervio radial,Nervio facial,Nervio iliohipogástrico,Nervio obturador,,
¿Qué nervio se encuentra entre los mésculos braquial y bí­ceps?,Nervio musculocutáneo,Nervio auriculotemporal,Nervio peroneo superficial,Nervio infraorbitario,,
¿Qué técnica diagnóstica se menciona para ambas regiones?,Rayos X,Laparoscopí­a,Rinoscopí­a,Tomografí­a renal,,
¿Qué procedimiento terapéutico se menciona en ambas regiones?,Fisioterapia,Quimioterapia,Anestesia epidural,Auscultación rectal,,
